lat,lon,name,admin1,admin2,cc,projected coordinate
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,42438018
40.74482,-73.94875,Long Island City,New York,Queens County,US,42506177
40.78343,-73.96625,Manhattan,New York,New York County,US,42440951
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,42438247
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,4461990857
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,42434113
40.71427,-74.00597,New York City,New York,,US,42428212
40.74399,-74.03236,Hoboken,New Jersey,Hudson County,US,42427390
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,42438928
40.71427,-74.00597,New York City,New York,,US,42466438
40.74482,-73.94875,Long Island City,New York,Queens County,US,371188756
40.78343,-73.96625,Manhattan,New York,New York County,US,42445027
40.71427,-74.00597,New York City,New York,,US,42432171
40.78343,-73.96625,Manhattan,New York,New York County,US,42450025
40.78343,-73.96625,Manhattan,New York,New York County,US,42455693
40.74482,-73.94875,Long Island City,New York,Queens County,US,42905203
40.78343,-73.96625,Manhattan,New York,New York County,US,42429338
40.74482,-73.94875,Long Island City,New York,Queens County,US,42490322
40.71427,-74.00597,New York City,New York,,US,42431822
40.78343,-73.96625,Manhattan,New York,New York County,US,42430367
40.71427,-74.00597,New York City,New York,,US,42440325
40.74482,-73.94875,Long Island City,New York,Queens County,US,42502895
40.60177,-73.99403,Bensonhurst,New York,Kings County,US,42466008
40.74482,-73.94875,Long Island City,New York,Queens County,US,42436531
40.78343,-73.96625,Manhattan,New York,New York County,US,42428039
40.71427,-74.00597,New York City,New York,,US,42436359
40.74482,-73.94875,Long Island City,New York,Queens County,US,387184869
40.74399,-74.03236,Hoboken,New Jersey,Hudson County,US,42444909
40.74482,-73.94875,Long Island City,New York,Queens County,US,42449963
40.71427,-74.00597,New York City,New York,,US,42431453
40.79205,-74.00375,Guttenberg,New Jersey,Hudson County,US,42454042
40.71427,-74.00597,New York City,New York,,US,5161246307
40.74482,-73.94875,Long Island City,New York,Queens County,US,2844853154
40.74482,-73.94875,Long Island City,New York,Queens County,US,1696727885
40.74482,-73.94875,Long Island City,New York,Queens County,US,42451674
40.78343,-73.96625,Manhattan,New York,New York County,US,42435516
40.74482,-73.94875,Long Island City,New York,Queens County,US,42455932
40.74482,-73.94875,Long Island City,New York,Queens County,US,42449928
40.74399,-74.03236,Hoboken,New Jersey,Hudson County,US,42439286
40.74482,-73.94875,Long Island City,New York,Queens County,US,42446933
40.78343,-73.96625,Manhattan,New York,New York County,US,42443819
40.74482,-73.94875,Long Island City,New York,Queens County,US,42449918
40.86566,-73.9268,Inwood,New York,New York County,US,42436807
40.74482,-73.94875,Long Island City,New York,Queens County,US,42527659
40.74482,-73.94875,Long Island City,New York,Queens County,US,42833259
40.71427,-74.00597,New York City,New York,,US,42455412
40.79205,-74.00375,Guttenberg,New Jersey,Hudson County,US,247120300
40.78343,-73.96625,Manhattan,New York,New York County,US,42431019
40.71427,-74.00597,New York City,New York,,US,42437580
40.71427,-74.00597,New York City,New York,,US,42439826
40.71427,-74.00597,New York City,New York,,US,42434352
40.71427,-74.00597,New York City,New York,,US,42440737
40.6501,-73.94958,Brooklyn,New York,Kings County,US,42465657
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,42427891
40.71427,-74.00597,New York City,New York,,US,42435477
40.74482,-73.94875,Long Island City,New York,Queens County,US,42454006
40.78343,-73.96625,Manhattan,New York,New York County,US,42429693
40.71427,-74.00597,New York City,New York,,US,42436947
40.78343,-73.96625,Manhattan,New York,New York County,US,42443329
40.74482,-73.94875,Long Island City,New York,Queens County,US,42446934
40.78343,-73.96625,Manhattan,New York,New York County,US,42442432
40.71427,-74.00597,New York City,New York,,US,42440326
40.78343,-73.96625,Manhattan,New York,New York County,US,2141026538
40.74482,-73.94875,Long Island City,New York,Queens County,US,42446488
40.71427,-74.00597,New York City,New York,,US,42430277
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,427840965
40.86566,-73.9268,Inwood,New York,New York County,US,42429215
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42445020
40.71427,-74.00597,New York City,New York,,US,42444424
40.78343,-73.96625,Manhattan,New York,New York County,US,42437918
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,42428926
40.86566,-73.9268,Inwood,New York,New York County,US,42429029
40.71427,-74.00597,New York City,New York,,US,42436763
40.78343,-73.96625,Manhattan,New York,New York County,US,42436549
40.71427,-74.00597,New York City,New York,,US,42444909
40.78343,-73.96625,Manhattan,New York,New York County,US,42430488
40.74482,-73.94875,Long Island City,New York,Queens County,US,42446488
40.71427,-74.00597,New York City,New York,,US,1773084402
40.78343,-73.96625,Manhattan,New York,New York County,US,42440452
40.71427,-74.00597,New York City,New York,,US,1773076509
40.74482,-73.94875,Long Island City,New York,Queens County,US,561042190
40.78343,-73.96625,Manhattan,New York,New York County,US,596775870
40.86566,-73.9268,Inwood,New York,New York County,US,42428985
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42435420
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,4443775465
40.78343,-73.96625,Manhattan,New York,New York County,US,42425232
40.78343,-73.96625,Manhattan,New York,New York County,US,42421806
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42435646
40.74482,-73.94875,Long Island City,New York,Queens County,US,42818525
40.71427,-74.00597,New York City,New York,,US,42476721
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,427842069
40.78343,-73.96625,Manhattan,New York,New York County,US,42428720
40.78343,-73.96625,Manhattan,New York,New York County,US,42452812
40.78343,-73.96625,Manhattan,New York,New York County,US,42445733
40.71427,-74.00597,New York City,New York,,US,42428436
40.71427,-74.00597,New York City,New York,,US,42432174
40.74482,-73.94875,Long Island City,New York,Queens County,US,42884832
40.71427,-74.00597,New York City,New York,,US,42439345
40.71427,-74.00597,New York City,New York,,US,42456543
40.71427,-74.00597,New York City,New York,,US,42437289
40.78343,-73.96625,Manhattan,New York,New York County,US,42431027
40.71427,-74.00597,New York City,New York,,US,42439836
40.74482,-73.94875,Long Island City,New York,Queens County,US,42484205
40.74482,-73.94875,Long Island City,New York,Queens County,US,2708237395
40.78343,-73.96625,Manhattan,New York,New York County,US,42442463
40.74482,-73.94875,Long Island City,New York,Queens County,US,42818528
40.78343,-73.96625,Manhattan,New York,New York County,US,42428020
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42443532
40.71427,-74.00597,New York City,New York,,US,42436941
40.74482,-73.94875,Long Island City,New York,Queens County,US,42452882
40.78343,-73.96625,Manhattan,New York,New York County,US,42425570
40.78343,-73.96625,Manhattan,New York,New York County,US,42429690
40.78343,-73.96625,Manhattan,New York,New York County,US,42443042
40.78343,-73.96625,Manhattan,New York,New York County,US,42441564
40.78343,-73.96625,Manhattan,New York,New York County,US,561035333
40.86566,-73.9268,Inwood,New York,New York County,US,42747763
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42435645
