lat,lon,name,admin1,admin2,cc,projected coordinate
40.71427,-74.00597,New York City,New York,,US,42427352
40.74482,-73.94875,Long Island City,New York,Queens County,US,42443680
40.78343,-73.96625,Manhattan,New York,New York County,US,5706568771
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42435645
40.74482,-73.94875,Long Island City,New York,Queens County,US,42445649
40.78343,-73.96625,Manhattan,New York,New York County,US,42432756
40.78343,-73.96625,Manhattan,New York,New York County,US,4862610026
40.71427,-74.00597,New York City,New York,,US,42430265
40.71427,-74.00597,New York City,New York,,US,42437283
40.71427,-74.00597,New York City,New York,,US,4487203991
40.74482,-73.94875,Long Island City,New York,Queens County,US,42436707
40.71427,-74.00597,New York City,New York,,US,42427371
40.71427,-74.00597,New York City,New York,,US,42448563
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42430295
40.74482,-73.94875,Long Island City,New York,Queens County,US,42431661
40.71427,-74.00597,New York City,New York,,US,42428170
40.71427,-74.00597,New York City,New York,,US,42439840
40.74482,-73.94875,Long Island City,New York,Queens County,US,42476811
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42437654
40.78343,-73.96625,Manhattan,New York,New York County,US,42439406
40.74482,-73.94875,Long Island City,New York,Queens County,US,42445649
40.71427,-74.00597,New York City,New York,,US,42443513
40.6501,-73.94958,Brooklyn,New York,Kings County,US,42470396
40.71427,-74.00597,New York City,New York,,US,42440729
40.78343,-73.96625,Manhattan,New York,New York County,US,42431037
40.74482,-73.94875,Long Island City,New York,Queens County,US,42445661
40.71427,-74.00597,New York City,New York,,US,42440743
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42428253
40.78343,-73.96625,Manhattan,New York,New York County,US,42436705
40.84985,-73.86641,The Bronx,New York,Bronx,US,5935616551
40.71427,-74.00597,New York City,New York,,US,42436935
40.74482,-73.94875,Long Island City,New York,Queens County,US,42434946
40.74482,-73.94875,Long Island City,New York,Queens County,US,42446275
40.71427,-74.00597,New York City,New York,,US,42436355
40.71427,-74.00597,New York City,New York,,US,42439170
40.78343,-73.96625,Manhattan,New York,New York County,US,42428065
40.78343,-73.96625,Manhattan,New York,New York County,US,42456683
40.74482,-73.94875,Long Island City,New York,Queens County,US,42442933
40.71427,-74.00597,New York City,New York,,US,42431151
40.71427,-74.00597,New York City,New York,,US,1692433935
40.78343,-73.96625,Manhattan,New York,New York County,US,42421728
40.71427,-74.00597,New York City,New York,,US,42437021
40.82704,-73.97569,Edgewater,New Jersey,Bergen County,US,561035359
40.74482,-73.94875,Long Island City,New York,Queens County,US,42513694
40.78343,-73.96625,Manhattan,New York,New York County,US,4347534783
40.71427,-74.00597,New York City,New York,,US,42436944
40.74482,-73.94875,Long Island City,New York,Queens County,US,42443680
40.78343,-73.96625,Manhattan,New York,New York County,US,42443353
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42439960
40.84985,-73.86641,The Bronx,New York,Bronx,US,5935616551
40.71427,-74.00597,New York City,New York,,US,42430265
40.71427,-74.00597,New York City,New York,,US,42430231
40.71427,-74.00597,New York City,New York,,US,42429769
40.78343,-73.96625,Manhattan,New York,New York County,US,42442567
40.78343,-73.96625,Manhattan,New York,New York County,US,42435272
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,3799572065
40.78343,-73.96625,Manhattan,New York,New York County,US,42440951
40.71427,-74.00597,New York City,New York,,US,42436793
40.78343,-73.96625,Manhattan,New York,New York County,US,42439849
40.74399,-74.03236,Hoboken,New Jersey,Hudson County,US,42431154
40.71427,-74.00597,New York City,New York,,US,42439840
40.78343,-73.96625,Manhattan,New York,New York County,US,42440153
40.78343,-73.96625,Manhattan,New York,New York County,US,42428723
40.78343,-73.96625,Manhattan,New York,New York County,US,42446353
40.71427,-74.00597,New York City,New York,,US,42439272
40.74399,-74.03236,Hoboken,New Jersey,Hudson County,US,42429666
40.71427,-74.00597,New York City,New York,,US,4597668032
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42445020
40.74482,-73.94875,Long Island City,New York,Queens County,US,42452973
40.71427,-74.00597,New York City,New York,,US,42442881
40.71427,-74.00597,New York City,New York,,US,42430282
40.78343,-73.96625,Manhattan,New York,New York County,US,42440397
40.78343,-73.96625,Manhattan,New York,New York County,US,42443050
40.78343,-73.96625,Manhattan,New York,New York County,US,42440452
40.78343,-73.96625,Manhattan,New York,New York County,US,42455693
40.78343,-73.96625,Manhattan,New York,New York County,US,3099327937
40.78343,-73.96625,Manhattan,New York,New York County,US,42450426
40.71427,-74.00597,New York City,New York,,US,42439836
40.78343,-73.96625,Manhattan,New York,New York County,US,42436510
40.71427,-74.00597,New York City,New York,,US,42444230
40.78343,-73.96625,Manhattan,New York,New York County,US,42430060
40.78343,-73.96625,Manhattan,New York,New York County,US,42435283
40.71427,-74.00597,New York City,New York,,US,42436336
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,4785165288
40.71427,-74.00597,New York City,New York,,US,4557517555
40.71427,-74.00597,New York City,New York,,US,42436427
40.79205,-74.00375,Guttenberg,New Jersey,Hudson County,US,42424218
40.71427,-74.00597,New York City,New York,,US,42432184
40.74482,-73.94875,Long Island City,New York,Queens County,US,42440465
40.71427,-74.00597,New York City,New York,,US,42439207
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42433620
40.78343,-73.96625,Manhattan,New York,New York County,US,42431447
40.71427,-74.00597,New York City,New York,,US,42439001
40.78343,-73.96625,Manhattan,New York,New York County,US,42456611
40.74399,-74.03236,Hoboken,New Jersey,Hudson County,US,42449341
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,4785165288
40.74482,-73.94875,Long Island City,New York,Queens County,US,42859957
40.71427,-74.00597,New York City,New York,,US,1692433928
40.71427,-74.00597,New York City,New York,,US,42449893
40.74482,-73.94875,Long Island City,New York,Queens County,US,42443680
40.78343,-73.96625,Manhattan,New York,New York County,US,42435275
40.71427,-74.00597,New York City,New York,,US,42429830
40.71427,-74.00597,New York City,New York,,US,42431453
40.85093,-73.97014,Fort Lee,New Jersey,Bergen County,US,42428965
40.79205,-74.00375,Guttenberg,New Jersey,Hudson County,US,42430984
40.78343,-73.96625,Manhattan,New York,New York County,US,5706568771
40.78343,-73.96625,Manhattan,New York,New York County,US,42443050
40.79205,-74.00375,Guttenberg,New Jersey,Hudson County,US,42430749
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42433625
40.71427,-74.00597,New York City,New York,,US,42432302
40.78343,-73.96625,Manhattan,New York,New York County,US,42427915
40.62205,-73.7468,Inwood,New York,Nassau County,US,599057140
40.78343,-73.96625,Manhattan,New York,New York County,US,42436546
40.74482,-73.94875,Long Island City,New York,Queens County,US,42436710
40.74482,-73.94875,Long Island City,New York,Queens County,US,42437358
40.78343,-73.96625,Manhattan,New York,New York County,US,42436475
40.71427,-74.00597,New York City,New York,,US,42421889
40.71427,-74.00597,New York City,New York,,US,42442247
40.71427,-74.00597,New York City,New York,,US,42439275
40.78343,-73.96625,Manhattan,New York,New York County,US,42445247
40.74482,-73.94875,Long Island City,New York,Queens County,US,42467803
40.71427,-74.00597,New York City,New York,,US,42449333
40.78343,-73.96625,Manhattan,New York,New York County,US,42442469
40.71427,-74.00597,New York City,New York,,US,42434357
40.71427,-74.00597,New York City,New York,,US,42431453
40.78343,-73.96625,Manhattan,New York,New York County,US,6929267015
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,42435642
